SENSOR,PROD,ALG,YEAR,SUBAREA_NAME,TOTAL_PIXEL_AREA_KM2,N_MONTHS,ANNUAL_MEAN,ANNUAL_SUM,ANNUAL_MTON,ANNUAL_TTON
SEAWIFS,PPD,VGPM2,2002,MAB,124745.70,12,0.8708875,44113151404405.43,44113151.29303043,44113.15129303042
SEAWIFS,PPD,VGPM2,2003,MAB,124745.70,12,0.8479445,41936298771873.72,41936298.66599474,41936.29866599474
SEAWIFS,PPD,VGPM2,2004,MAB,124745.70,12,0.7810511,38846839340623.89,38846839.24254505,38846.83924254505
SEAWIFS,PPD,VGPM2,2005,MAB,124745.70,12,0.8034073,39179168631380.25,39179168.53246236,39179.16853246236
SEAWIFS,PPD,VGPM2,2006,MAB,124745.70,12,0.9230459,45144575514715.31,45144575.40073621,45144.57540073621
SEAWIFS,PPD,VGPM2,2007,MAB,124745.70,12,0.9079840,45131042075308.58,45131041.96136365,45131.04196136365
MODISA,PPD,VGPM2,2008,MAB,124745.70,12,0.8697804,43758480440877.41,43758480.33039787,43758.48033039788
MODISA,PPD,VGPM2,2009,MAB,124745.70,12,0.8078039,40481956713716.29,40481956.61150917,40481.95661150917
MODISA,PPD,VGPM2,2010,MAB,124745.70,12,0.8625702,42848805040773.66,42848804.93259082,42848.80493259082
MODISA,PPD,VGPM2,2011,MAB,124745.70,12,0.9024041,46071009363562.89,46071009.24724478,46071.00924724477
MODISA,PPD,VGPM2,2012,MAB,124745.70,12,0.9040578,44640653942089.81,44640653.82938299,44640.65382938299
MODISA,PPD,VGPM2,2013,MAB,124745.70,12,0.9161384,45124028815005.66,45124028.70107844,45124.02870107844
MODISA,PPD,VGPM2,2014,MAB,124745.70,12,0.7708787,38922154305529.16,38922154.20726016,38922.15420726016
MODISA,PPD,VGPM2,2015,MAB,124745.70,12,0.8529308,44773777958896.68,44773777.84585376,44773.77784585376
MODISA,PPD,VGPM2,2016,MAB,124745.70,12,0.9019318,44895070476447.41,44895070.36309826,44895.07036309825
MODISA,PPD,VGPM2,2017,MAB,124745.70,12,0.9438863,46950267999863.80,46950267.88132577,46950.26788132577
MODISA,PPD,VGPM2,2018,MAB,124745.70,12,0.8586517,43066844971130.46,43066844.86239713,43066.84486239713
MODISA,PPD,VGPM2,2019,MAB,124745.70,12,0.8966236,44614545911211.10,44614545.79857020,44614.54579857020
SEAWIFS,PPD,VGPM2,1998,SS,64419.415,12,0.5374578,13432622165722.18,13432622.13180807,13432.62213180807
SEAWIFS,PPD,VGPM2,1999,SS,64419.415,12,0.6162022,15296064389324.13,15296064.35070528,15296.06435070528
SEAWIFS,PPD,VGPM2,2000,SS,64419.415,12,0.6089361,15292048101096.12,15292048.06248740,15292.04806248741
SEAWIFS,PPD,VGPM2,2001,SS,64419.415,12,0.5744248,14430552140847.26,14430552.10441361,14430.55210441361
SEAWIFS,PPD,VGPM2,2002,SS,64419.415,12,0.6713396,16800087579441.48,16800087.53702533,16800.08753702533
SEAWIFS,PPD,VGPM2,2003,SS,64419.415,12,0.6214836,15754073513497.76,15754073.47372255,15754.07347372254
SEAWIFS,PPD,VGPM2,2004,SS,64419.415,12,0.5767177,14660559134279.61,14660559.09726526,14660.55909726526
SEAWIFS,PPD,VGPM2,2005,SS,64419.415,12,0.5912710,14914623035191.00,14914622.99753520,14914.62299753520
SEAWIFS,PPD,VGPM2,2006,SS,64419.415,12,0.7373829,18476638447479.08,18476638.40083005,18476.63840083005
SEAWIFS,PPD,VGPM2,2007,SS,64419.415,12,0.6399515,16151403860809.88,16151403.82003150,16151.40382003150
MODISA,PPD,VGPM2,2008,SS,64419.415,12,0.5839421,14597937576627.88,14597937.53977163,14597.93753977163
MODISA,PPD,VGPM2,2009,SS,64419.415,12,0.6340435,16138414301407.31,16138414.26066173,16138.41426066173
MODISA,PPD,VGPM2,2010,SS,64419.415,12,0.6940205,17141637800304.99,17141637.75702652,17141.63775702652
MODISA,PPD,VGPM2,2011,SS,64419.415,12,0.6245801,15553421769352.69,15553421.73008407,15553.42173008407
MODISA,PPD,VGPM2,2012,SS,64419.415,12,0.6990063,17458180872992.81,17458180.82891514,17458.18082891514
MODISA,PPD,VGPM2,2013,SS,64419.415,12,0.6640249,16520126323392.94,16520126.28168363,16520.12628168363
MODISA,PPD,VGPM2,2014,SS,64419.415,12,0.6462553,15960301055309.72,15960301.01501384,15960.30101501384
MODISA,PPD,VGPM2,2015,SS,64419.415,12,0.6441564,16081088189803.97,16081088.14920313,16081.08814920313
MODISA,PPD,VGPM2,2016,SS,64419.415,12,0.6984074,17258866399970.12,17258866.35639567,17258.86635639567
MODISA,PPD,VGPM2,2017,SS,64419.415,12,0.6661018,16437196547864.74,16437196.50636481,16437.19650636481
MODISA,PPD,VGPM2,2018,SS,64419.415,12,0.6685977,16679847654003.93,16679847.61189136,16679.84761189136
MODISA,PPD,VGPM2,2019,SS,64419.415,12,0.6647338,16572747682568.71,16572747.64072654,16572.74764072654
