SENSOR,PROD,ALG,YEAR,SUBAREA_NAME,TOTAL_PIXEL_AREA_KM2,N_MONTHS,ANNUAL_MEAN,ANNUAL_SUM,ANNUAL_MTON,ANNUAL_TTON
SEAWIFS,PPD,VGPM2,1998,GB,96336.081,12,0.5817980,21530304711457.87,21530304.65709907,21530.30465709907
SEAWIFS,PPD,VGPM2,1999,GB,96336.081,12,0.6294189,23858366569341.73,23858366.50910515,23858.36650910515
SEAWIFS,PPD,VGPM2,2000,GB,96336.081,12,0.6596988,24784938673515.48,24784938.61093953,24784.93861093953
SEAWIFS,PPD,VGPM2,2001,GB,96336.081,12,0.6125571,23037633716473.55,23037633.65830911,23037.63365830911
SEAWIFS,PPD,VGPM2,2002,GB,96336.081,12,0.6762782,25548719232612.45,25548719.16810813,25548.71916810813
SEAWIFS,PPD,VGPM2,2003,GB,96336.081,12,0.6581745,24711729299661.55,24711729.23727043,24711.72923727043
SEAWIFS,PPD,VGPM2,2004,GB,96336.081,12,0.6361451,23944123319860.75,23944123.25940765,23944.12325940765
SEAWIFS,PPD,VGPM2,2005,GB,96336.081,12,0.6449273,24010830734928.21,24010830.67430669,24010.83067430669
SEAWIFS,PPD,VGPM2,2006,GB,96336.081,12,0.7588880,27980823749011.36,27980823.67836658,27980.82367836657
SEAWIFS,PPD,VGPM2,2007,GB,96336.081,12,0.7166891,26870027935785.54,26870027.86794524,26870.02786794524
MODISA,PPD,VGPM2,2008,GB,96336.081,12,0.6657622,24695997614437.38,24695997.55208598,24695.99755208598
MODISA,PPD,VGPM2,2009,GB,96336.081,12,0.6801212,25790529435755.70,25790529.37064088,25790.52937064088
MODISA,PPD,VGPM2,2010,GB,96336.081,12,0.7305599,27047873536006.93,27047873.46771762,27047.87346771762
MODISA,PPD,VGPM2,2011,GB,96336.081,12,0.6713400,25245461588326.64,25245461.52458797,25245.46152458797
MODISA,PPD,VGPM2,2012,GB,96336.081,12,0.7425162,27573833056879.02,27573832.98726178,27573.83298726178
MODISA,PPD,VGPM2,2013,GB,96336.081,12,0.6742445,25050440871366.62,25050440.80812034,25050.44080812034
MODISA,PPD,VGPM2,2014,GB,96336.081,12,0.6689152,25321901832162.90,25321901.76823125,25321.90176823125
MODISA,PPD,VGPM2,2015,GB,96336.081,12,0.6622623,24982411727197.15,24982411.66412262,24982.41166412262
MODISA,PPD,VGPM2,2016,GB,96336.081,12,0.7370594,27623194411397.29,27623194.34165542,27623.19434165542
MODISA,PPD,VGPM2,2017,GB,96336.081,12,0.7068546,26199677892698.29,26199677.82655047,26199.67782655047
MODISA,PPD,VGPM2,2018,GB,96336.081,12,0.7018526,26063936811521.64,26063936.74571652,26063.93674571652
MODISA,PPD,VGPM2,2019,GB,96336.081,12,0.7285957,26954106588451.44,26954106.52039886,26954.10652039886
SEAWIFS,PPD,VGPM2,1998,GOM,49251.824,12,0.6629393,12696679199394.84,12696679.16733881,12696.67916733881
SEAWIFS,PPD,VGPM2,1999,GOM,49251.824,12,0.7487473,14291427658804.68,14291427.62272229,14291.42762272229
SEAWIFS,PPD,VGPM2,2000,GOM,49251.824,12,0.7104418,13891999985105.10,13891999.95003117,13891.99995003117
SEAWIFS,PPD,VGPM2,2001,GOM,49251.824,12,0.6688322,12740998043067.90,12740998.01089997,12740.99801089997
SEAWIFS,PPD,VGPM2,2002,GOM,49251.824,12,0.7857005,14987293563416.35,14987293.52557707,14987.29352557707
SEAWIFS,PPD,VGPM2,2003,GOM,49251.824,12,0.6946320,13444387209084.91,13444387.17514110,13444.38717514110
SEAWIFS,PPD,VGPM2,2004,GOM,49251.824,12,0.6657868,12834290356673.75,12834290.32427029,12834.29032427029
SEAWIFS,PPD,VGPM2,2005,GOM,49251.824,12,0.7131643,13812435996573.55,13812435.96170051,13812.43596170051
SEAWIFS,PPD,VGPM2,2006,GOM,49251.824,12,0.8272295,15914056283325.13,15914056.24314600,15914.05624314600
SEAWIFS,PPD,VGPM2,2007,GOM,49251.824,12,0.7284946,14048096914323.84,14048096.87885581,14048.09687885581
MODISA,PPD,VGPM2,2008,GOM,49251.824,12,0.7430627,14462737751771.17,14462737.71525627,14462.73771525627
MODISA,PPD,VGPM2,2009,GOM,49251.824,12,0.7164004,14128732505728.22,14128732.47005660,14128.73247005660
MODISA,PPD,VGPM2,2010,GOM,49251.824,12,0.8160993,15400209824166.47,15400209.78528468,15400.20978528468
MODISA,PPD,VGPM2,2011,GOM,49251.824,12,0.7413098,14246473463840.04,14246473.42787115,14246.47342787115
MODISA,PPD,VGPM2,2012,GOM,49251.824,12,0.8738469,16913032017977.45,16913031.97527615,16913.03197527615
MODISA,PPD,VGPM2,2013,GOM,49251.824,12,0.7156150,14046485735785.11,14046485.70032114,14046.48570032114
MODISA,PPD,VGPM2,2014,GOM,49251.824,12,0.7355416,14165414056169.30,14165414.02040507,14165.41402040507
MODISA,PPD,VGPM2,2015,GOM,49251.824,12,0.6957299,13273532853857.96,13273532.82034551,13273.53282034551
MODISA,PPD,VGPM2,2016,GOM,49251.824,12,0.8074079,15334369657219.37,15334369.61850381,15334.36961850381
MODISA,PPD,VGPM2,2017,GOM,49251.824,12,0.7462531,14665405716370.65,14665405.67934406,14665.40567934406
MODISA,PPD,VGPM2,2018,GOM,49251.824,12,0.7823055,15055906027597.53,15055905.98958502,15055.90598958502
MODISA,PPD,VGPM2,2019,GOM,49251.824,12,0.7729118,15056593295121.71,15056593.25710746,15056.59325710746
SEAWIFS,PPD,VGPM2,1998,MAB,124745.70,12,0.7230462,35640286059901.66,35640285.96991859,35640.28596991859
SEAWIFS,PPD,VGPM2,1999,MAB,124745.70,12,0.7472472,36915942542311.34,36915942.44910755,36915.94244910755
SEAWIFS,PPD,VGPM2,2000,MAB,124745.70,12,0.8307287,40596493264070.77,40596493.16157448,40596.49316157448
SEAWIFS,PPD,VGPM2,2001,MAB,124745.70,12,0.8267049,41303264837342.58,41303264.73306186,41303.26473306186
